Method,N_Features,Features
Pearson_gt0.15,21,"sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, hard_challenge_efficiency, impulsive_help_ratio, ratio_redo_success, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity"
Pearson_gt0.20,12,"sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, impulsive_help_ratio, ratio_redo_success, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Mutant_Omega_Curiosity"
Pearson_gt0.30,3,"sum_weighted_score, inter_obsessive_correction, Feat_Resilient_Explorer"
Spearman_gt0.15,27,"sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, impulsive_help_ratio, hint_reliance_ratio, hint_dependency_gravity, adaptive_learning_capacity, stubborn_failure_magnitude, ratio_redo_success, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Ego_Awareness, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity"
Spearman_gt0.20,22,"sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, impulsive_help_ratio, adaptive_learning_capacity, ratio_redo_success, Psych_Calculated_Risk, Psych_Ego_Awareness, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity"
Spearman_gt0.30,6,"sum_weighted_score, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity"
Kendall_gt0.10,27,"sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, impulsive_help_ratio, hint_reliance_ratio, hint_dependency_gravity, adaptive_learning_capacity, stubborn_failure_magnitude, ratio_redo_success, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Ego_Awareness, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity"
Kendall_gt0.15,21,"sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, impulsive_help_ratio, adaptive_learning_capacity, ratio_redo_success, Psych_Calculated_Risk, Psych_Ego_Awareness, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity"
Kendall_gt0.20,11,"sum_weighted_score, humility_challenging, score_velocity, adaptive_learning_capacity, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity"
MutualInfo_p70,24,"sum_weighted_score, humility_challenging, boldness_score, hard_challenge_efficiency, stubbornness_index, impulsive_help_ratio, hint_reliance_ratio, adaptive_learning_capacity, ratio_redo_success, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity"
MutualInfo_p80,16,"sum_weighted_score, humility_challenging, boldness_score, hard_challenge_efficiency, adaptive_learning_capacity, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Mutant_AoL_Resilience"
MutualInfo_p90,8,"humility_challenging, boldness_score, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Mutant_AoL_Resilience"
