Method,N_Features,Features
Pearson_gt0.20,5,"sum_weighted_score, humility_challenging, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer"
Pearson_gt0.15,11,"sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, Comp_Awareness_Limit, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity"
Spearman_gt0.20,8,"sum_weighted_score, score_velocity, adaptive_learning_capacity, ratio_score_per_hint, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity"
Spearman_gt0.15,15,"sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, adaptive_learning_capacity, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Mutant_AoL_Resilience, Mutant_Omega_Curiosity"
Kendall_gt0.15,7,"sum_weighted_score, score_velocity, adaptive_learning_capacity, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity"
Kendall_gt0.10,19,"sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, hint_reliance_ratio, adaptive_learning_capacity, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity"
MutualInfo_p80,16,"sum_weighted_score, boldness_score, hard_challenge_efficiency, delayed_gratification_hint, hyper_curiosity_index, inter_hint_x_skip, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Flow_Stamina, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, inter_strategic_retreat, inter_exploratory_brilliance, HighOrd_Score_x_PCAStar, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer"
MutualInfo_p70,24,"sum_weighted_score, humility_challenging, boldness_score, hard_challenge_efficiency, delayed_gratification_hint, learning_adaptability, hyper_curiosity_index, adaptive_learning_capacity, inter_hint_x_skip, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Flow_Stamina, Psych_Learned_Helplessness, Psych_Calculated_Risk_Growth, ratio_struggle_time, inter_ambition_vs_reality, inter_strategic_retreat, inter_exploratory_brilliance, HighOrd_Score_x_PCAStar, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity"
RF_Importance_p80,16,"sum_weighted_score, carefulness_index, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Psych_Flow_Stamina, ratio_struggle_time, inter_sweet_victory, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer"
RF_Importance_med,40,"sum_weighted_score, score_velocity, hard_challenge_efficiency, hint_reading_duration, hint_effectiveness, engagement_persistence, carefulness_index, contemplation_index, exploration_efficiency, hyper_curiosity_index, adaptive_learning_capacity, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Hints, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, Psych_Ego_Awareness, ratio_struggle_time, inter_sweet_victory, HighOrd_Star_x_Effort, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death"
Lasso_NonZero,31,"score_velocity, hint_reading_duration, keypad_dominance, hesitation_penalty, exploration_efficiency, hint_dependency_gravity, reckless_action_index, calculated_risk_taking, stubborn_failure_magnitude, time_diff_end_vs_start, time_diff_max_vs_avg, inter_hint_x_skip, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Deprivation_Fixation, Psych_Impulsive_Quit, Psych_Adaptability, Psych_Adaptability_Log, ratio_hint_per_star, ratio_struggle_time, inter_ambition_vs_reality, HighOrd_Star_x_Effort, inter_obsessive_correction, HighOrd_Score_x_PCAStar, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death"
RFE_Ridge_Top20,20,"struggle_ratio, score_velocity, hard_challenge_efficiency, apathy_speed, hint_vs_skip_ratio, carefulness_index, exploration_efficiency, ratio_hint_time, ratio_success_per_duration, PCA_Hints, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Adaptability, ratio_struggle_time, inter_ambition_vs_reality, PCA_Performance_Star, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Strategic_Growth"
