Method,N_Features,Features
Pearson_gt0.20,5,"score_velocity, Feat_Strategic_Growth, Psych_Calculated_Risk_Growth, exploration_efficiency, inter_exploratory_brilliance"
Pearson_gt0.15,2,"score_velocity, Feat_Strategic_Growth"
Spearman_gt0.20,5,"Feat_Ego_vs_Capacity, score_velocity, hyper_curiosity_index, ratio_score_per_hint, sum_weighted_score"
Spearman_gt0.15,2,"score_velocity, Feat_Ego_vs_Capacity"
Kendall_gt0.15,5,"Feat_Ego_vs_Capacity, score_velocity, hyper_curiosity_index, ratio_score_per_hint, sum_weighted_score"
Kendall_gt0.10,3,"score_velocity, hyper_curiosity_index, Feat_Ego_vs_Capacity"
MutualInfo_p80,16,"struggle_ratio, engagement_persistence, delayed_gratification_hint, hint_reliance_ratio, contemplation_index, tuas_dominance, learning_adaptability, hesitation_penalty, exploration_efficiency, ratio_hint_time, ratio_success_per_duration, PCA_Duration, Comp_Joyous_Exploration, Psych_Calculated_Risk, ratio_score_per_hint, inter_cowardice_penalty"
MutualInfo_p70,24,"struggle_ratio, engagement_persistence, delayed_gratification_hint, hint_reliance_ratio, carefulness_index, contemplation_index, tuas_dominance, learning_adaptability, hesitation_penalty, exploration_efficiency, time_diff_phase3_vs_phase1, ratio_hint_time, ratio_success_per_duration, PCA_Duration, PCA_Dur_squared, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Flow_Stamina, Psych_Impulsive_Quit, ratio_score_per_hint, inter_cowardice_penalty, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience"
RF_Importance_p80,16,"score_velocity, carefulness_index, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Hints, PCA_Dur_x_PCA_Hints, Psych_Flow_Stamina, ratio_struggle_time, HighOrd_Star_x_Effort, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Feat_Ego_vs_Capacity"
RF_Importance_med,40,"sum_weighted_score, score_velocity, hard_challenge_efficiency, hint_reading_duration, hint_effectiveness, engagement_persistence, delayed_gratification_hint, hint_reliance_ratio, carefulness_index, contemplation_index, exploration_efficiency, hyper_curiosity_index, adaptive_learning_capacity, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Duration, PCA_Hints, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, ratio_struggle_time, inter_sweet_victory, PCA_Performance_Star, HighOrd_Star_x_Effort, inter_obsessive_correction, inter_cowardice_penalty, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Ego_Death"
Lasso_NonZero,28,"struggle_ratio, score_velocity, boldness_score, hint_reliance_ratio, tuas_dominance, keypad_dominance, hesitation_penalty, exploration_efficiency, hint_dependency_gravity, calculated_risk_taking, stubborn_failure_magnitude, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_success_per_duration, inter_hint_x_skip, PCA_Dur_x_PCA_Hints, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Deprivation_Fixation, Psych_Ego_Awareness, Psych_Learned_Helplessness, Psych_Calculated_Risk_Growth, ratio_hint_per_star, ratio_struggle_time, Comp_GBA_AoL_Anchored, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth"
RFE_Ridge_Top20,20,"struggle_ratio, apathy_speed, carefulness_index, star_efficiency, exploration_efficiency, time_diff_phase3_vs_phase1, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Duration, PCA_Hints, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Adaptability, ratio_hint_per_star, inter_ambition_vs_reality, PCA_Performance_Star, ratio_score_per_hint, Comp_GBA_DS_Anchored, Feat_Cognitive_Waste"
