Method,N_Features,Features
Pearson_gt0.15,10,"sum_weighted_score, score_velocity, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity"
Pearson_gt0.20,5,"inter_exploratory_brilliance, Feat_Strategic_Growth, Mutant_Omega_Curiosity, score_velocity, Feat_Resilient_Explorer"
Pearson_gt0.30,5,"inter_exploratory_brilliance, Feat_Strategic_Growth, Mutant_Omega_Curiosity, score_velocity, Feat_Resilient_Explorer"
Spearman_gt0.15,13,"sum_weighted_score, score_velocity, adaptive_learning_capacity, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity"
Spearman_gt0.20,1,sum_weighted_score
Spearman_gt0.30,5,"sum_weighted_score, Feat_Ego_vs_Capacity, inter_exploratory_brilliance, Feat_Strategic_Growth, Psych_Calculated_Risk"
Kendall_gt0.10,13,"sum_weighted_score, score_velocity, adaptive_learning_capacity, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity"
Kendall_gt0.15,5,"sum_weighted_score, inter_exploratory_brilliance, Feat_Strategic_Growth, Feat_Ego_vs_Capacity, Psych_Calculated_Risk"
Kendall_gt0.20,5,"sum_weighted_score, inter_exploratory_brilliance, Feat_Strategic_Growth, Feat_Ego_vs_Capacity, Psych_Calculated_Risk"
MutualInfo_p70,24,"humility_challenging, struggle_ratio, grind_capacity, boldness_score, engagement_persistence, stubbornness_index, impulsive_help_ratio, contemplation_index, star_efficiency, hint_dependency_gravity, frustration_breakdown_ratio, adaptive_learning_capacity, stubborn_failure_magnitude, time_diff_end_vs_start, ratio_redo_success, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Learned_Helplessness, Psych_Calculated_Risk_Growth, inter_exploratory_brilliance, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_Ego_Death"
MutualInfo_p80,16,"humility_challenging, struggle_ratio, grind_capacity, boldness_score, engagement_persistence, stubbornness_index, impulsive_help_ratio, hint_dependency_gravity, adaptive_learning_capacity, stubborn_failure_magnitude, ratio_redo_success, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_exploratory_brilliance, Feat_Ego_vs_Capacity, Feat_Strategic_Growth"
MutualInfo_p90,8,"humility_challenging, struggle_ratio, grind_capacity, stubbornness_index, impulsive_help_ratio, hint_dependency_gravity, adaptive_learning_capacity, Psych_Calculated_Risk_Growth"
