Method,N_Features,Features
Pearson_gt0.20,10,"sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity"
Pearson_gt0.15,15,"sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, adaptive_learning_capacity, ratio_redo_success, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity"
Spearman_gt0.20,16,"sum_weighted_score, struggle_ratio, score_velocity, stubbornness_index, adaptive_learning_capacity, Comp_Joyous_Exploration, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity"
Spearman_gt0.15,22,"sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, hint_dependency_gravity, adaptive_learning_capacity, ratio_redo_success, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity"
Kendall_gt0.15,17,"sum_weighted_score, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, adaptive_learning_capacity, Comp_Joyous_Exploration, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity"
Kendall_gt0.10,24,"sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, hint_reliance_ratio, hint_dependency_gravity, adaptive_learning_capacity, stubborn_failure_magnitude, ratio_redo_success, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity"
MutualInfo_p80,16,"sum_weighted_score, humility_challenging, score_velocity, boldness_score, hard_challenge_efficiency, stubbornness_index, adaptive_learning_capacity, time_diff_max_vs_avg, ratio_redo_success, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_strategic_retreat, inter_exploratory_brilliance, Feat_Strategic_Growth, Mutant_Omega_Curiosity"
MutualInfo_p70,24,"sum_weighted_score, humility_challenging, grind_capacity, score_velocity, boldness_score, hard_challenge_efficiency, hint_effectiveness, stubbornness_index, impulsive_help_ratio, adaptive_learning_capacity, stubborn_failure_magnitude, time_diff_max_vs_avg, ratio_redo_success, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_strategic_retreat, inter_exploratory_brilliance, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death"
RF_Importance_p80,16,"sum_weighted_score, score_velocity, hint_reading_duration, carefulness_index, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_success_per_duration, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Psych_Flow_Stamina, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Mutant_AoL_Resilience, Mutant_Ego_Death"
RF_Importance_med,40,"sum_weighted_score, score_velocity, hard_challenge_efficiency, hint_reading_duration, hint_effectiveness, engagement_persistence, impulsive_help_ratio, carefulness_index, contemplation_index, exploration_efficiency, hyper_curiosity_index, adaptive_learning_capacity, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Duration, PCA_Hints, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, Psych_Impulsive_Quit, ratio_struggle_time, inter_sweet_victory, HighOrd_Star_x_Effort, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death"
