Method,N_Features,Features
Pearson_gt0.20,5,"Psych_Calculated_Risk_Growth, exploration_efficiency, stagnation_ratio, Feat_Strategic_Growth, HighOrd_Score_x_PCAStar"
Pearson_gt0.15,5,"Psych_Calculated_Risk_Growth, exploration_efficiency, stagnation_ratio, Feat_Strategic_Growth, HighOrd_Score_x_PCAStar"
Spearman_gt0.20,5,"Psych_Calculated_Risk_Growth, exploration_efficiency, hyper_curiosity_index, stagnation_ratio, Feat_Strategic_Growth"
Spearman_gt0.15,5,"Psych_Calculated_Risk_Growth, exploration_efficiency, hyper_curiosity_index, stagnation_ratio, Feat_Strategic_Growth"
Kendall_gt0.15,5,"Psych_Calculated_Risk_Growth, stagnation_ratio, exploration_efficiency, hyper_curiosity_index, hint_dependency_gravity"
Kendall_gt0.10,5,"Psych_Calculated_Risk_Growth, stagnation_ratio, exploration_efficiency, hyper_curiosity_index, hint_dependency_gravity"
MutualInfo_p80,16,"humility_challenging, struggle_ratio, boldness_score, hard_challenge_efficiency, stubbornness_index, impulsive_help_ratio, exploration_efficiency, hint_dependency_gravity, adaptive_learning_capacity, ratio_redo_success, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, Comp_GBA_AoL_Anchored, Mutant_AoL_Resilience"
MutualInfo_p70,24,"humility_challenging, struggle_ratio, grind_capacity, boldness_score, hard_challenge_efficiency, stubbornness_index, impulsive_help_ratio, exploration_efficiency, hint_dependency_gravity, hyper_curiosity_index, frustration_breakdown_ratio, adaptive_learning_capacity, time_diff_phase3_vs_phase1, ratio_success_per_duration, ratio_redo_success, PCA_Duration, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, Comp_GBA_AoL_Anchored, Feat_Cognitive_Waste, Mutant_AoL_Resilience, Mutant_Ego_Death"
RF_Importance_p80,16,"score_velocity, hard_challenge_efficiency, engagement_persistence, carefulness_index, contemplation_index, exploration_efficiency, time_diff_end_vs_start, time_diff_max_vs_avg, ratio_success_per_duration, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, ratio_struggle_time, HighOrd_Star_x_Effort, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored"
RF_Importance_med,40,"score_velocity, stagnation_ratio, hard_challenge_efficiency, hint_reading_duration, hint_effectiveness, engagement_persistence, carefulness_index, contemplation_index, exploration_efficiency, reckless_action_index, hyper_curiosity_index, adaptive_learning_capacity, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Hints, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, ratio_struggle_time, inter_sweet_victory, PCA_Performance_Star, HighOrd_Star_x_Effort, ratio_score_per_hint, inter_obsessive_correction, inter_cowardice_penalty, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death"
Lasso_NonZero,31,"grind_capacity, boldness_score, engagement_persistence, delayed_gratification_hint, keypad_dominance, hesitation_penalty, exploration_efficiency, hint_dependency_gravity, reckless_action_index, calculated_risk_taking, stubborn_failure_magnitude, time_diff_end_vs_start, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, inter_hint_x_skip, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, Psych_Deprivation_Fixation, Psych_Adaptability_Log, Psych_Learned_Helplessness, Psych_Calculated_Risk_Growth, ratio_struggle_time, ratio_score_per_hint, inter_cowardice_penalty, HighOrd_Score_x_PCADuration, Comp_GBA_AoL_Anchored, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience"
RFE_Ridge_Top20,20,"sum_weighted_score, score_velocity, boldness_score, hard_challenge_efficiency, apathy_speed, engagement_persistence, carefulness_index, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Hints, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Adaptability_Log, inter_exploratory_brilliance, inter_obsessive_correction, Comp_GBA_DS_Anchored, Feat_Strategic_Growth, Mutant_Omega_Curiosity"
